,Media Sources,TBpolarity,compound,date,idx,negative,neutral,positive,text
0,CNN,0.25,0.0,2017-11-05,0,0.0,1.0,0.0,Texas Gov. Greg Abbot releases a statement on the shooting at First Baptist Church in Sutherland Springs… https://t.co/TiwNGu2Pht
1,CNN,0.0,-0.3818,2017-11-05,1,0.157,0.843,0.0,"Sutherland Springs business owner on church shooting: ""It's just awful...there were emergency responders everywhere"" https://t.co/TYcC5jCX9m"
2,CNN,0.0,-0.8225,2017-11-05,2,0.487,0.513,0.0,ISIS claims responsibility for a suicide attack in Yemen https://t.co/9ScXiQp7Sl https://t.co/cmAG9lNdTJ
3,CNN,0.0,-0.3818,2017-11-05,3,0.167,0.833,0.0,"Sutherland Springs resident on church shooting: ""It's just awful...there were emergency responders everywhere"" https://t.co/TYcC5jCX9m"
4,CNN,0.25,-0.1655,2017-11-05,4,0.093,0.907,0.0,"Law enforcement have reported multiple victims at a Texas church, but have not said how many https://t.co/PGxqFieLyc https://t.co/pLNO4vE3sT"
5,CNN,0.0,0.4019,2017-11-05,5,0.0,0.828,0.172,"President Trump tweets support for people of Sutherland Springs, Texas, after church shooting… https://t.co/muJFcRBDWB"
6,CNN,-0.2,-0.7579,2017-11-05,6,0.302,0.698,0.0,"One suspect dead after reported shooting in Sutherland Springs, Texas, says Guadalupe Co. Sheriff's Office official… https://t.co/s8KvNZh8t6"
7,CNN,0.0,-0.5106,2017-11-05,7,0.26,0.628,0.112,"Local gas station owner tells @KayleeHartung that shots fired at Texas church ""sounded like a semiautomatic weapon"" https://t.co/D0EChgJtJm"
8,CNN,0.0,0.0,2017-11-05,8,0.0,1.0,0.0,Catalan ex-President turns himself in to Belgian authorities https://t.co/vGBLL2A481 https://t.co/ghTN0dIGJw
9,CNN,0.0,0.0,2017-11-05,9,0.0,1.0,0.0,"House Minority Leader Nancy Pelosi: Must ""exhaust"" diplomatic options on North Korea
https://t.co/LNsBvUknTQ https://t.co/gKzSAd35cb"
10,CNN,0.13636363636363635,0.0,2017-11-05,10,0.0,1.0,0.0,"We're live in Sutherland Springs, Texas, over the scene of a reported shooting https://t.co/49AyTQsslP… https://t.co/w8qiqXkRUA"
11,CNN,0.0,0.0,2017-11-05,11,0.0,1.0,0.0,Trump and Putin are set to meet and discuss North Korea https://t.co/h72BD4cUjd https://t.co/7yqxZK8vit
12,CNN,0.0,-0.5574,2017-11-05,12,0.167,0.833,0.0,A witness at a gas station across from a Texas church said she heard 20 shots fired while a service was underway… https://t.co/vGZKfABodU
13,CNN,0.2,0.6124,2017-11-05,13,0.0,0.625,0.375,"""Thor: Ragnarok"" is the 17th straight number one opening for Marvel https://t.co/IZ3SPgUSnW https://t.co/XpkmIiQRXW"
14,CNN,-0.2,-0.6486,2017-11-05,14,0.249,0.751,0.0,"County Sheriff says Sutherland Springs church gunman is dead, reports CNN's @kayleehartung https://t.co/ekxguNHIsH https://t.co/ZtfHBLc4PQ"
15,CNN,0.0,0.0,2017-11-05,15,0.0,1.0,0.0,"BREAKING: The FBI is responding to the scene of a shooting outside San Antonio, Texas
https://t.co/ekxguNHIsH https://t.co/vRV1GzHgVx"
16,CNN,0.0,0.0,2017-11-05,16,0.0,1.0,0.0,"Gonorrhea rates in Australia are up 63% in 5 years, data shows https://t.co/dsVnWfRKFk https://t.co/UtRgz5r04t"
17,CNN,0.0,-0.4767,2017-11-05,17,0.256,0.744,0.0,Billionaire Prince Alwaleed arrested in Saudi anti-corruption drive https://t.co/U6aJ7NPR7O https://t.co/pimIM00oeh
18,CNN,0.3333333333333333,0.8225,2017-11-05,18,0.0,0.648,0.352,"Shalane Flanagan wins NYC Marathon, becoming the first U.S. Women's champion in 40 years https://t.co/UivrO1JMUB https://t.co/i8yuNM6oY1"
